,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
76,ACAQ.U,"Athena Consumer Acquisition Corp. Units, each consisting of one share of Class A common stock and one-half of one Redeemable Warrant",stocks,us,XNYS,UNIT,True,usd,0001869141,BBG011WV4DQ1,BBG011WV4FK2,2022-12-15T00:00:00Z
77,ACAQ.WS,Athena Consumer Acquisition Corp. Redeemable warrants,stocks,us,XNYS,WARRANT,True,usd,0001869141,BBG011WZFMY1,,2022-12-15T00:00:00Z
78,ACAX,Alset Capital Acquisition Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001897245,BBG01699JVG0,BBG01699JWS5,2022-12-15T00:00:00Z
79,ACAXR,Alset Capital Acquisition Corp. Right,stocks,us,XNAS,RIGHT,True,usd,0001897245,BBG01699N3F8,BBG01699N4C9,2022-12-15T00:00:00Z
80,ACAXU,Alset Capital Acquisition Corp. Unit,stocks,us,XNAS,UNIT,True,usd,0001897245,BBG014KG27W9,BBG014KG28Q4,2022-12-15T00:00:00Z
81,ACAXW,Alset Capital Acquisition Corp. Warrant,stocks,us,XNAS,WARRANT,True,usd,0001897245,BBG016B1YXZ2,,2022-12-15T00:00:00Z
82,ACB,Aurora Cannabis Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001683541,BBG006SCSYG7,BBG001SV77D1,2022-12-15T00:00:00Z
83,ACBA,Ace Global Business Acquisition Limited Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001844389,,,2022-12-15T00:00:00Z
84,ACBAU,Ace Global Business Acquisition Limited Unit,stocks,us,XNAS,UNIT,True,usd,0001844389,,,2022-12-15T00:00:00Z
85,ACBAW,Ace Global Business Acquisition Limited Warrant,stocks,us,XNAS,WARRANT,True,usd,0001844389,,,2022-12-15T00:00:00Z
86,ACCD,"Accolade, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001481646,BBG00S2L1Z00,BBG00S2L1ZR1,2022-12-15T00:00:00Z
87,ACCO,Acco Brands Corporation,stocks,us,XNYS,CS,True,usd,0000712034,BBG000J06K07,BBG001SPBTK3,2022-12-15T00:00:00Z
88,ACDC,ProFrac Holding Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001881487,BBG013PRYPJ2,BBG013PRYQC7,2022-12-15T00:00:00Z
89,ACDCW,ProFrac Holding Corp. Warrant,stocks,us,XNAS,WARRANT,True,usd,0001881487,BBG01BBHSCX1,,2022-12-15T00:00:00Z
90,ACDI,Ascendant Digital Acquisition Corp. III,stocks,us,XNYS,CS,True,usd,0001850316,,,2022-12-15T00:00:00Z
91,ACDI.U,"Ascendant Digital Acquisition Corp. III Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,True,usd,0001850316,,,2022-12-15T00:00:00Z
92,ACDI.WS,"Ascendant Digital Acquisition Corp. III Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11. 50 per share",stocks,us,XNYS,WARRANT,True,usd,0001850316,,,2022-12-15T00:00:00Z
93,ACEL,"Accel Entertainment, Inc.",stocks,us,XNYS,CS,True,usd,0001698991,BBG00GX221W3,BBG00GX221Z0,2022-12-15T00:00:00Z
94,ACER,Acer Therapeutics Inc. Common Stock (DE),stocks,us,XNAS,CS,True,usd,0001069308,BBG000BG5S59,BBG001S7Q351,2022-12-15T00:00:00Z
95,ACES,ALPS Clean Energy ETF,stocks,us,ARCX,ETF,True,usd,0001414040,BBG00L99FCT0,BBG00L99FDK7,2022-12-15T00:00:00Z
96,ACET,"Adicet Bio, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001720580,BBG00JCXSJP3,BBG00JCXSJQ2,2022-12-15T00:00:00Z
97,ACGL,Arch Capital Group Ltd,stocks,us,XNAS,CS,True,usd,0000947484,,,2022-12-15T00:00:00Z
98,ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",stocks,us,XNAS,,True,usd,0000947484,,,2022-12-15T00:00:00Z
99,ACGLO,"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F",stocks,us,XNAS,PFD,True,usd,0000947484,,,2022-12-15T00:00:00Z
100,ACHC,"Acadia Healthcare Company, Inc.",stocks,us,XNAS,CS,True,usd,0001520697,BBG000FPNN38,BBG001SNNWL7,2022-12-15T00:00:00Z
101,ACHL,Achilles Therapeutics plc American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001830749,BBG00ZHF9VV8,BBG00ZHF9WP3,2022-12-15T00:00:00Z
102,ACHR,Archer Aviation Inc.,stocks,us,XNYS,CS,True,usd,0001824502,BBG00XRTC910,BBG00XRTC929,2022-12-15T00:00:00Z
103,ACHR.WS,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",stocks,us,XNYS,WARRANT,True,usd,0001824502,BBG00YGCV1N9,,2022-12-15T00:00:00Z
104,ACHV,"Achieve Life Sciences, Inc.",stocks,us,XNAS,CS,True,usd,0000949858,BBG000FB8S62,BBG001S8JF14,2022-12-15T00:00:00Z
105,ACI,"Albertsons Companies, Inc.",stocks,us,XNYS,CS,True,usd,0001646972,BBG009KG1750,BBG009KG1741,2022-12-15T00:00:00Z
106,ACIO,Aptus Collared Income Opportunity ETF,stocks,us,BATS,ETF,True,usd,0001753220,BBG00PNSDFF3,BBG00PNSDG52,2022-12-15T00:00:00Z
107,ACIU,AC Immune SA,stocks,us,XNAS,CS,True,usd,0001651625,,,2022-12-15T00:00:00Z
